Division,District ,Upazila Name,Union Name,BBSID,Latitude,Longitude
Sylhet,Sylhet,Zakiganj,Barahal,6919409,24.94320,92.22886
Sylhet,Sylhet,Zakiganj,Bara Thakuri,6919419,24.89103,92.48621
Sylhet,Sylhet,Zakiganj,Birasree,6919428,24.91027,92.31086
Sylhet,Sylhet,Zakiganj,Khas Kanakpur,6919438,24.93293,92.44952
Sylhet,Sylhet,Zakiganj,Kajalshar,6919447,24.96491,92.38072
Sylhet,Sylhet,Zakiganj,Kholachhara,6919457,24.88469,92.35559
Sylhet,Sylhet,Zakiganj,Manikpur,6919466,24.94962,92.42571
Sylhet,Sylhet,Zakiganj,Sultanpur,6919476,24.86928,92.43290
Sylhet,Sylhet,Zakiganj,Zakiganj,6919485,24.87565,92.37128
Sylhet,Sylhet,Sylhet Sadar,Hatkhola,6916222,24.97277,91.79343
Sylhet,Sylhet,Sylhet Sadar,Jalalabad,6916226,24.97665,91.76483
Sylhet,Sylhet,Sylhet Sadar,Kandigaon,6916230,24.91467,91.80528
Sylhet,Sylhet,Sylhet Sadar,Khadimnagar,6916235,24.95033,91.86420
Sylhet,Sylhet,Sylhet Sadar,Khadim Para,6916240,24.90819,91.94267
Sylhet,Sylhet,Sylhet Sadar,Mogalgaon,6916255,24.91006,91.74704
Sylhet,Sylhet,Sylhet Sadar,Tuker Bazar,6916290,24.91425,91.81629
Sylhet,Sylhet,Sylhet Sadar,Tultikar,6916295,24.89303,91.89646
Sylhet,Sylhet,Kanaighat,Bara Chatul,6915909,25.05026,92.19140
Sylhet,Sylhet,Kanaighat,Dakshin Banigram,6915919,24.94336,92.20250
Sylhet,Sylhet,Kanaighat,Jhingrabari,6915938,24.95184,92.16286
Sylhet,Sylhet,Kanaighat,Kanaighat,6915947,25.00396,92.25761
Sylhet,Sylhet,Kanaighat,Paschim Lakshmip Rasad,6915966,25.06243,92.26066
Sylhet,Sylhet,Kanaighat,Paschim Dighirpar,6915970,25.00132,92.28954
Sylhet,Sylhet,Kanaighat,Purba Lakshmi Prasad,6915972,25.01462,92.36396
Sylhet,Sylhet,Kanaighat,Purba Dighirpar,6915976,24.99417,92.33999
Sylhet,Sylhet,Kanaighat,Rajaganj,6915985,24.89770,92.06167
Sylhet,Sylhet,Jointiapur,Darbasta,6915331,25.06488,92.11626
