longitude,latitude,Address,city,area,pType,subType,,-0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10
89.42057859,23.01760535,"Abhaynagar, Jessore", Jessore,Abhaynagar,Admin,Upazilla,,,,,,,,,,,,
89.03869629,24.80325322,"Adamdighi, Bogra", Bogra,Adamdighi,Admin,Upazilla,,,,,,,,,,,,
89.34906006,25.93087712,"Aditmari, Lalmonirhat", Lalmonirhat,Aditmari,Admin,Upazilla,,,,,,,,,,,,
90.14076039,22.96784468,"Agailjhara, Barisal", Barisal,Agailjhara,Admin,Upazilla,,,,,,,,,,,,
91.22497559,24.56960628,"Ajmiriganj, Habiganj", Habiganj,Ajmiriganj,Admin,Upazilla,,,,,,,,,,,,
91.20849609,23.87202455,"Akhaura, Brahamanbaria", Brahamanbaria,Akhaura,Admin,Upazilla,,,,,,,,,,,,
89.02015686,24.96769636,"Akkelpur, Joypurhat", Joypurhat,Akkelpur,Admin,Upazilla,,,,,,,,,,,,
88.94119263,23.76523689,"Alamdanga, Chuadanga", Chuadanga,Alamdanga,Admin,Upazilla,,,,,,,,,,,,
89.66983358,23.29692769,"Alfadanga, Faridpur", Faridpur,Alfadanga,Admin,Upazilla,,,,,,,,,,,,
92.3085022,21.66253349,"Alikadam, Bandarban", Bandarban,Alikadam,Admin,Upazilla,,,,,,,,,,,,
90.20266601,22.07495252,"Amtali, Barguna", Barguna,Amtali,Admin,Upazilla,,,,,,,,,,,,
91.86389923,22.23508204,"Anowara, Chittagong", Chittagong,Anowara,Admin,Upazilla,,,,,,,,,,,,
90.64888,23.8004237,"Araihazar, Narayanganj", Narayanganj,Araihazar,Admin,Upazilla,,,,,,,,,,,,
90.99494934,24.02984596,"Ashuganj, Brahamanbaria", Brahamanbaria,Ashuganj,Admin,Upazilla,,,,,,,,,,,,
89.17327881,22.54300097,"Assasuni, Satkhira", Satkhira,Assasuni,Admin,Upazilla,,,,,,,,,,,,
89.28197229,24.10824804,"Atgharia, Pabna", Pabna,Atgharia,Admin,Upazilla,,,,,,,,,,,,
90.85830688,24.82288578,"Atpara, Netrakona", Netrakona,Atpara,Admin,Upazilla,,,,,,,,,,,,
88.98785783,24.62523508,"Atrai, Naogaon", Naogaon,Atrai,Admin,Upazilla,,,,,,,,,,,,
88.41547966,26.24377137,"Atwari, Panchagarh", Panchagarh,Atwari,Admin,Upazilla,,,,,,,,,,,,
91.10137939,24.28076796,"Austagram, Kishoreganj", Kishoreganj,Austagram,Admin,Upazilla,,,,,,,,,,,,
90.31461762,22.82349496,"Babuganj, Barisal", Barisal,Babuganj,Admin,Upazilla,,,,,,,,,,,,
88.90857697,24.97018624,"Badalgachhi, Naogaon", Naogaon,Badalgachhi,Admin,Upazilla,,,,,,,,,,,,
89.05630061,25.66597345,"Badarganj, Rangpur", Rangpur,Badarganj,Admin,Upazilla,,,,,,,,,,,,
88.94674725,24.31224111,"Bagati Para, Natore", Natore,Bagati Para,Admin,Upazilla,,,,,,,,,,,,
89.79537964,22.66470981,"Bagerhat Sadar, Bagerhat", Bagerhat,Bagerhat Sadar,Admin,Upazilla,,,,,,,,,,,,
88.82838646,24.20047082,"Bagha, Rajshahi", Rajshahi,Bagha,Admin,Upazilla,,,,,,,,,,,,
92.22945793,23.37309544,"Baghai Chhari, Rangamati", Rangamati,Baghai Chhari,Admin,Upazilla,,,,,,,,,,,,
89.34288025,23.22431005,"Bagher Para, Jessore", Jessore,Bagher Para,Admin,Upazilla,,,,,,,,,,,,
88.81076187,24.59109968,"Baghmara, Rajshahi", Rajshahi,Baghmara,Admin,Upazilla,,,,,,,,,,,,
91.54648831,24.36058421,"Bahubal, Habiganj", Habiganj,Bahubal,Admin,Upazilla,,,,,,,,,,,,
90.95108338,24.22450621,"Bajitpur, Kishoreganj", Kishoreganj,Bajitpur,Admin,Upazilla,,,,,,,,,,,,
91.85488701,22.35404489,"Bakalia, Chittagong", Chittagong,Bakalia,Admin,Upazilla,,,,,,,,,,,,
90.38462881,22.55301251,"Bakerganj, Barisal", Barisal,Bakerganj,Admin,Upazilla,,,,,,,,,,,,
89.86919403,25.18723366,"Bakshiganj, Jamalpur", Jamalpur,Bakshiganj,Admin,Upazilla,,,,,,,,,,,,
91.77334795,24.69542616,"Balaganj, Sylhet", Sylhet,Balaganj,Admin,Upazilla,,,,,,,,,,,,
89.55060292,23.64963525,"Balia Kandi, Rajbari", Rajbari,Balia Kandi,Admin,Upazilla,,,,,,,,,,,,
88.2763803,26.08568473,"Baliadangi, Thakurgaon", Thakurgaon,Baliadangi,Admin,Upazilla,,,,,,,,,,,,
90.05796842,22.27240628,"Bamna, Barguna", Barguna,Bamna,Admin,Upazilla,,,,,,,,,,,,
90.15380859,22.78631079,"Banari Para, Barisal", Barisal,Banari Para,Admin,Upazilla,,,,,,,,,,,,
90.80701987,23.78013056,"Banchharampur, Brahamanbaria", Brahamanbaria,Banchharampur,Admin,Upazilla,,,,,,,,,,,,
90.53777501,23.63767599,"Bandar, Narayanganj", Narayanganj,Bandar,Admin,Upazilla,,,,,,,,,,,,
92.21614838,22.19471652,"Bandarban Sadar, Bandarban", Bandarban,Bandarban Sadar,Admin,Upazilla,,,,,,,,,,,,
91.36544107,24.4947353,"Baniachong, Habiganj", Habiganj,Baniachong,Admin,Upazilla,,,,,,,,,,,,
91.93977412,22.01585678,"Banshkhali, Chittagong", Chittagong,Banshkhali,Admin,Upazilla,,,,,,,,,,,,
89.15405273,24.32707654,"Baraigram, Natore", Natore,Baraigram,Admin,Upazilla,,,,,,,,,,,,
90.10986328,22.16705786,"Barguna Sadar, Barguna", Barguna,Barguna Sadar,Admin,Upazilla,,,,,,,,,,,,
90.88533504,24.91953471,"Barhatta, Netrakona", Netrakona,Barhatta,Admin,Upazilla,,,,,,,,,,,,
90.37078857,22.71222306,"Barisal Sadar (Kotwali), Barisal", Barisal,Barisal Sadar (Kotwali),Admin,Upazilla,,,,,,,,,,,,
92.34460353,22.84530017,"Barkal, Rangamati", Rangamati,Barkal,Admin,Upazilla,,,,,,,,,,,,
92.17559772,24.70815684,"Barlekha, Maulvibazar", Maulvibazar,Barlekha,Admin,Upazilla,,,,,,,,,,,,
91.04919434,23.38385879,"Barura, Comilla", Comilla,Barura,Admin,Upazilla,,,,,,,,,,,,
90.03940152,24.23114837,"Basail, Tangail", Tangail,Basail,Admin,Upazilla,,,,,,,,,,,,
89.50218201,22.73122374,"Batiaghata, Khulna", Khulna,Batiaghata,Admin,Upazilla,,,,,,,,,,,,
90.55206299,22.42626253,"Bauphal, Patuakhali", Patuakhali,Bauphal,Admin,Upazilla,,,,,,,,,,,,
91.81677818,22.38912671,"Bayejid Bostami, Chittagong", Chittagong,Bayejid Bostami,Admin,Upazilla,,,,,,,,,,,,
92.15889633,24.84889239,"Beani Bazar, Sylhet", Sylhet,Beani Bazar,Admin,Upazilla,,,,,,,,,,,,
91.10824585,22.94574762,"Begumganj, Noakhali", Noakhali,Begumganj,Admin,Upazilla,,,,,,,,,,,,
90.84931917,24.09852256,"Belabo, Narsingdi", Narsingdi,Belabo,Admin,Upazilla,,,,,,,,,,,,
92.19795227,21.79010706,"Belai Chhari, Rangamati", Rangamati,Belai Chhari,Admin,Upazilla,,,,,,,,,,,,
89.70209131,24.29516773,"Belkuchi, Sirajganj", Sirajganj,Belkuchi,Admin,Upazilla,,,,,,,,,,,,
89.60723877,24.08658926,"Bera, Pabna", Pabna,Bera,Admin,Upazilla,,,,,,,,,,,,
90.15106201,22.41991523,"Betagi, Barguna", Barguna,Betagi,Admin,Upazilla,,,,,,,,,,,,
90.98464966,24.0665282,"Bhairab, Kishoreganj", Kishoreganj,Bhairab,Admin,Upazilla,,,,,,,,,,,,
90.3817749,24.41214007,"Bhaluka, Mymensingh", Mymensingh,Bhaluka,Admin,Upazilla,,,,,,,,,,,,
90.05630493,22.49606365,"Bhandaria, Pirojpur", Pirojpur,Bhandaria,Admin,Upazilla,,,,,,,,,,,,
90.00976252,23.38674871,"Bhanga, Faridpur", Faridpur,Bhanga,Admin,Upazilla,,,,,,,,,,,,
89.3662262,24.21033406,"Bhangura, Pabna", Pabna,Bhangura,Admin,Upazilla,,,,,,,,,,,,
90.51389989,23.23837226,"Bhedarganj, Shariatpur", Shariatpur,Bhedarganj,Admin,Upazilla,,,,,,,,,,,,
88.99887085,24.02765097,"Bheramara, Kushtia", Kushtia,Bheramara,Admin,Upazilla,,,,,,,,,,,,
90.63926697,22.69195275,"Bhola Sadar, Bhola", Bhola,Bhola Sadar,Admin,Upazilla,,,,,,,,,,,,
88.2119751,24.94870939,"Bholahat, Nawabganj", Nawabganj,Bholahat,Admin,Upazilla,,,,,,,,,,,,
89.86953735,24.47215044,"Bhuapur, Tangail", Tangail,Bhuapur,Admin,Upazilla,,,,,,,,,,,,
89.69033003,26.11672619,"Bhurungamari, Kurigram", Kurigram,Bhurungamari,Admin,Upazilla,,,,,,,,,,,,
